OFFENSE_LATITUDE,OFFENSE_LONGITUDE,CATEGORY,Total_Occurrences,Weighted_Crime_Score
38.793,-77.038,Weapon Violations,1,1
38.8054,-77.038,Release Violations/Fugitive,1,1
38.813,-77.013,Release Violations,3,3
38.8135,-77.0173,Burglary,1,6
38.8135,-77.0173,Release Violations/Fugitive,1,1
38.8135,-77.0138,Release Violations/Fugitive,1,1
38.8135,-77.0138,Robbery,1,7
38.8135,-77.0138,Sex Abuse,1,9
38.8135,-77.0138,Sex Offenses,2,20
38.8135,-77.0138,Simple Assault,5,5
38.8135,-77.0138,Weapon Violations,1,1
38.8135,-77.0127,Theft,1,1
38.814,-77.018,Fraud and Financial Crimes (Forg),1,1
38.814,-77.014,Other Crimes,1,1
38.814,-77.014,Release Violations/Fugitive,1,1
38.814,-77.014,Simple Assault,20,20
38.814,-77.014,Weapon Violations,1,1
38.814,-77.013,Release Violations/Fugitive,1,1
38.815,-77.018,Homicide,1,8
38.815,-77.017,Damage to Property,1,1
38.8162,-77.0173,Traffic Violations,1,2
38.8162,-77.0173,Weapon Violations,1,1
38.8189,-77.0104, rcotics,3,3
38.8189,-77.0104,Assault on a Police Officer,1,1
38.8189,-77.0104,Disorderly Conduct,1,1
38.8189,-77.0104,Driving/Boating While Intoxicated,1,1
38.8189,-77.0104,Liquor Law Violations,1,1
38.8189,-77.0104,Sex Offenses,1,10
38.8189,-77.0104,Simple Assault,4,4
38.8189,-77.0104,Traffic Violations,3,6
38.8189,-77.0104,Weapon Violations,1,1
38.819,-77.013,Simple Assault,2,2
38.819,-77.011,Assault with a Dangerous Weapon,1,8
38.819,-77.011,Other Crimes,1,1
38.819,-77.011,Release Violations/Fugitive,1,1
38.819,-77.011,Simple Assault,6,6
38.819,-77.01,Driving/Boating While Intoxicated,2,2
38.819,-77.01,Release Violations/Fugitive,1,1
38.819,-77.01,Simple Assault,3,3
38.8198,-77.0104, rcotics,2,2
38.8198,-77.0104,Aggravated Assault,1,1
